Word,Count
посту,1
гов,1
поява,1
цеї,1
повірить,1
ублагав,1
прийти,1
повартувати,1
привиддя,1
зявиться,1
навіч,1
переконавсь,1
вийде,1
штурмувати,1
будемо,1
стійкий,1
мур,1
оповідей,1
послухаймо,1
розповість,1
минулу,1
ген,1
захід,1
полярної,1
зоря,1
дозором,1
обійшовши,1
небосхил,1
вдарило,1
тихіше,1
явився,1
корольнебіжчик,1
книжник,1
ляку,1
питай,1
опівнічної,1
доби,1
прибрав,1
войовничий,1
вражав,1
образився,1
дрижиш,1
мислиш,1
йняв,1
віри,1
свідчення,1
правдиве,1
панцері,1
здолав,1
пихатого,1
супився,1
скинув,1
отих,1
поляків,1
саней,1
дивне,1
ступою,1
пояснити,1
віщує,1
несказанні,1
сувора,1
пильна,1
виснажує,1
щоночі,1
міді,1
ллють,1
щодня,1
завозять,1
війни,1
корабельників,1
женуть,1
силком,1
неділь,1
гарячці,1
зєднались,1
роботі,1
зясує,1
подоба,1
являлась,1
норвежців,1
мордувавсь,1
заздрої,1
пихи,1
дістав,1
виклик,1
угоди,1
печатьми,1
скріпленої,1
переможцю,1
убитий,1
віддавав,1
укупі,1
завойовані,1
походах,1
закладавсь,1
шматом,1
володінь,1
дідизни,1
подужав,1
законно,1
дістались,1
гамлету,1
норвезькі,1
знано,1
фортінбрасмолодший,1
незрілому,1
завзятті,1
понабирав,1
околицях,1
норвезьких,1
шибайголів,1
безстрашних,1
гольтіпак,1
хліб,1
харч,1
вдатних,1
пахне,1
здобиччю,1
уряд,1
оружною,1
силоміць,1
згадані,1
краї,1
заходів,1
воєнних,1
вартувань,1
тривог,1
зловісна,1
явилась,1
подобі,1
призвідцею,1
війн,1
дрібниця,1
затьмарює,1
славні,1
розвою,1
загинуть,1
юлій,1
розкривались,1
квилячи,1
вздовж,1
римських,1
хвостаті,1
роси,1
світило,1
вод,1
шановане,1
нептуновому,1
царстві,1
тьму,1
хворіло,1
подій,1
предтечі,1
долю,1
провіщають,1
